ReaxFF version 2.0
Compiled on:        Tue Sep 27 02:24:13 PDT 2016
Force field identifier: Reactive MD-force field                 
Geometry identifier: CC-ref                                  
 ewh   1.30601013076934814E-059
 ewh   4.62122507543077592E-064
 ewh   6.39296840107635936E-055
 ewh   8.82730862520827678E-050
 ewh   9.11695700474131242E-050
 ewh   6.98559413202463443E-055
 ewh   5.25426784626978493E-064
 ewh   5.06167250659872447E-064
 ewh   9.03834126450666361E-060
 ewh   9.03889637317895966E-060
 ewh   4.45333129886099664E-055
 ewh   4.45362569580457308E-055
 ewh   4.22941747503199398E-055
 ewh   4.22969672034758084E-055
 ewh   7.82919178370925600E-060
 ewh   7.82967090352802808E-060
 ewh   3.75770087103381077E-064
 ewh   3.75791716615885959E-064
 ewh   1.48251907582537777E-052
 ewh   1.48262133015907658E-052
 ewh   2.48558133822997908E-044
 ewh   2.48578082902637940E-044
 ewh   2.75349521647862213E-041
 ewh   2.75373034606850192E-041
 ewh   2.23361684739085595E-044
 ewh   2.23379563350644218E-044
 ewh   1.23396763730567547E-052
 ewh   1.23405233233508784E-052
 ewh   2.98709042036412710E-064
 ewh   2.98726120697967757E-064
 ewh   3.72773806269176324E-064
 ewh   3.72795243364415554E-064
 ewh   6.07102680139610106E-050
 ewh   6.07146484134342445E-050
 ewh   5.66186307589624375E-038
 ewh   5.66238330512502437E-038
 ewh   1.51807932923871205E-030
 ewh   1.51824731755664703E-030
 ewh   1.42813731646285847E-030
 ewh   1.42829509665221145E-030
 ewh   4.86374154562562941E-038
 ewh   4.86418658442732266E-038
 ewh   4.97707894899781926E-050
 ewh   4.97743592064225669E-050
 ewh   2.98702605754993976E-064
 ewh   2.98719653829878890E-064
 ewh   1.47756005921466687E-052
 ewh   1.47766178944462210E-052
 ewh   5.70929312285680825E-038
 ewh   5.70981729081385674E-038
 ewh   3.67991011610805919E-026
 ewh   3.68037310144819702E-026
 ewh   4.16327872622923387E-021
 ewh   4.16390101925704627E-021
 ewh   3.29674920878658325E-026
 ewh   3.29716263257084557E-026
 ewh   4.86357383188612478E-038
 ewh   4.86401806780181204E-038
 ewh   1.23390385855968503E-052
 ewh   1.23398824975824487E-052
 ewh   8.98461688003458164E-060
 ewh   8.98516672502855646E-060
 ewh   2.54047025259909853E-044
 ewh   2.54067364813929406E-044
 ewh   1.58894315696566905E-030
 ewh   1.58911877262952855E-030
 ewh   4.36855488103665461E-021
 ewh   4.36920779002644272E-021
 ewh   4.16304422349228547E-021
 ewh   4.16366537989573411E-021
 ewh   1.42801850610942955E-030
 ewh   1.42817571522389261E-030
 ewh   2.23341508118427222E-044
 ewh   2.23359290378959449E-044
 ewh   7.82847147609444031E-060
 ewh   7.82894717002215303E-060
 ewh   4.58876904975555521E-055
 ewh   4.58907112897320996E-055
 ewh   2.95419644946070415E-041
 ewh   2.95444799109621195E-041
 ewh   1.58887697674614393E-030
 ewh   1.58905227429801887E-030
 ewh   3.67956148746299424E-026
 ewh   3.68002279158233544E-026
 ewh   1.51788975501817310E-030
 ewh   1.51805683211122511E-030
 ewh   2.75314173407936411E-041
 ewh   2.75337517375481307E-041
 ewh   4.22889317640901826E-055
 ewh   4.22916992554357581E-055
 ewh   4.58865520856760857E-055
 ewh   4.58895674578406579E-055
 ewh   2.54031708917787759E-044
 ewh   2.54051975329057235E-044
 ewh   5.70870158905161636E-038
 ewh   5.70922292510575964E-038
 ewh   5.66108099502908115E-038
 ewh   5.66159748013810169E-038
 ewh   2.48520679094861258E-044
 ewh   2.48540449311112906E-044
 ewh   4.45266859538369457E-055
 ewh   4.45295983718534810E-055
 ewh   8.98399634864020355E-060
 ewh   8.98454324225824426E-060
 ewh   1.47740711971084975E-052
 ewh   1.47750812134911812E-052
 ewh   6.07020436437405153E-050
 ewh   6.07063848358888436E-050
 ewh   1.48228889686590541E-052
 ewh   1.48239005464489549E-052
 ewh   9.03688470986742652E-060
 ewh   9.03743289086075476E-060
 ewh   3.72725549522221975E-064
 ewh   3.72746757286616045E-064
 ewh   3.75713332829233972E-064
 ewh   3.75734692627884674E-064
 ewh   3.75734692627884674E-064
 ewh   3.75713332829233972E-064
 ewh   3.72746757286605453E-064
 ewh   3.72725549522211382E-064
 ewh   9.03743289086075476E-060
 ewh   9.03688470986742652E-060
 ewh   1.48239005464489549E-052
 ewh   1.48228889686590541E-052
 ewh   6.07063848358888436E-050
 ewh   6.07020436437405153E-050
 ewh   1.47750812134911812E-052
 ewh   1.47740711971084975E-052
 ewh   8.98454324225824426E-060
 ewh   8.98399634864020355E-060
 ewh   4.45295983718534810E-055
 ewh   4.45266859538369457E-055
 ewh   2.48540449311112906E-044
 ewh   2.48520679094861258E-044
 ewh   5.66159748013810169E-038
 ewh   5.66108099502908115E-038
 ewh   5.70922292510575964E-038
 ewh   5.70870158905161636E-038
 ewh   2.54051975329057235E-044
 ewh   2.54031708917787759E-044
 ewh   4.58895674578406579E-055
 ewh   4.58865520856760857E-055
 ewh   4.22916992554357581E-055
 ewh   4.22889317640901826E-055
 ewh   2.75337517375473456E-041
 ewh   2.75314173407932434E-041
 ewh   1.51805683211122511E-030
 ewh   1.51788975501817310E-030
 ewh   3.68002279158233544E-026
 ewh   3.67956148746294143E-026
 ewh   1.58905227429801887E-030
 ewh   1.58887697674614393E-030
 ewh   2.95444799109621195E-041
 ewh   2.95419644946070415E-041
 ewh   4.58907112897320996E-055
 ewh   4.58876904975555521E-055
 ewh   7.82894717002215303E-060
 ewh   7.82847147609444031E-060
 ewh   2.23359290378959449E-044
 ewh   2.23341508118427222E-044
 ewh   1.42817571522389261E-030
 ewh   1.42801850610942955E-030
 ewh   4.16366537989573411E-021
 ewh   4.16304422349225537E-021
 ewh   4.36920779002644272E-021
 ewh   4.36855488103665461E-021
 ewh   1.58911877262952855E-030
 ewh   1.58894315696566905E-030
 ewh   2.54067364813929406E-044
 ewh   2.54047025259909853E-044
 ewh   8.98516672502881182E-060
 ewh   8.98461688003509346E-060
 ewh   1.23398824975827992E-052
 ewh   1.23390385855972009E-052
 ewh   4.86401806780174313E-038
 ewh   4.86357383188612478E-038
 ewh   3.29716263257084557E-026
 ewh   3.29674920878658325E-026
 ewh   4.16390101925707561E-021
 ewh   4.16327872622923387E-021
 ewh   3.68037310144819702E-026
 ewh   3.67991011610805919E-026
 ewh   5.70981729081385674E-038
 ewh   5.70929312285688968E-038
 ewh   1.47766178944462210E-052
 ewh   1.47756005921466687E-052
 ewh   2.98719653829878890E-064
 ewh   2.98702605754993976E-064
 ewh   4.97743592064225669E-050
 ewh   4.97707894899781926E-050
 ewh   4.86418658442732266E-038
 ewh   4.86374154562562941E-038
 ewh   1.42829509665221145E-030
 ewh   1.42813731646285847E-030
 ewh   1.51824731755664703E-030
 ewh   1.51807932923871205E-030
 ewh   5.66238330512502437E-038
 ewh   5.66186307589624375E-038
 ewh   6.07146484134342445E-050
 ewh   6.07102680139610106E-050
 ewh   3.72795243364415554E-064
 ewh   3.72773806269176324E-064
 ewh   2.98726120697967757E-064
 ewh   2.98709042036412710E-064
 ewh   1.23405233233508784E-052
 ewh   1.23396763730567547E-052
 ewh   2.23379563350644218E-044
 ewh   2.23361684739085595E-044
 ewh   2.75373034606850192E-041
 ewh   2.75349521647862213E-041
 ewh   2.48578082902637940E-044
 ewh   2.48558133822997908E-044
 ewh   1.48262133015907658E-052
 ewh   1.48251907582537777E-052
 ewh   3.75791716615896687E-064
 ewh   3.75770087103391804E-064
 ewh   7.82967090352802808E-060
 ewh   7.82919178370925600E-060
 ewh   4.22969672034758084E-055
 ewh   4.22941747503199398E-055
 ewh   4.45362569580457308E-055
 ewh   4.45333129886099664E-055
 ewh   9.03889637317895966E-060
 ewh   9.03834126450666361E-060
 ewh   5.06167250659872447E-064
 ewh   5.25426784626963514E-064
 ewh   6.98559413202463443E-055
 ewh   9.11695700474131242E-050
 ewh   8.82730862520827678E-050
 ewh   6.39296840107635936E-055
 ewh   4.62122507543090749E-064
 ewh   1.30601013076931100E-059
 ewh   5.17645512308561254E-047
 ewh   2.95141507183394399E-060
 ewh   9.78604370585438975E-038
 ewh   2.95141665507363914E-060
 ewh   5.71098480011007205E-058
 ewh   3.55558011794746798E-034
 ewh   5.71098733909406827E-058
 ewh   2.83486082046254679E-060
 ewh   9.20500597584751045E-038
 ewh   2.83486173264968517E-060
 ewh   4.67995293042995203E-047
 ewh   1.15596702278358140E-059
 ewh   1.26854635740566659E-059
 ewh   4.02630563100236389E-044
 ewh   1.38245685659159614E-055
 ewh   3.04116052268228694E-030
 ewh   1.38245749514123902E-055
 ewh   1.58235044520050003E-050
 ewh   1.07180782093196828E-020
 ewh   1.58235104274597576E-050
 ewh   1.55812784669812928E-050
 ewh   1.03711381524978106E-020
 ewh   1.55812823891680097E-050
 ewh   1.32499924614834375E-055
 ewh   2.82868974383698182E-030
 ewh   1.32499939910483794E-055
 ewh   3.69068606734767342E-044
 ewh   1.15599847391736979E-059
 ewh   4.84162410318843558E-064
 ewh   4.90132118019536717E-047
 ewh   1.36057717657258198E-055
 ewh   2.95948747996971963E-030
 ewh   1.36057764785182969E-055
 ewh   8.07661205348523712E-048
 ewh   2.82828456170624674E-014
 ewh   8.07661418983940907E-048
 ewh   5.76565021592786477E-045
 ewh   5.76565102148228712E-045
 ewh   7.95509796826784629E-048
 ewh   2.71547765920557807E-014
 ewh   7.95509796826784629E-048
